2025-01-31 18:42:23,221 - WARNING - No valid frames extracted from /Volumes/BigBoy/portugal trip 2025/1-13-2025/11 AM/DJI_0930.MP4
2025-01-31 18:42:33,612 - WARNING - No valid frames extracted from /Volumes/BigBoy/portugal trip 2025/1-13-2025/11 AM/DJI_0919.MP4
2025-01-31 18:42:36,825 - WARNING - No valid frames extracted from /Volumes/BigBoy/portugal trip 2025/1-13-2025/11 AM/DJI_0989.MP4
2025-01-31 18:42:38,878 - WARNING - No valid frames extracted from /Volumes/BigBoy/portugal trip 2025/1-13-2025/3 PM/DJI_0115.MP4
2025-01-31 18:43:59,810 - WARNING - No valid frames extracted from /Volumes/BigBoy/portugal trip 2025/1-13-2025/11 AM/DJI_0930.MP4
2025-01-31 18:44:11,336 - WARNING - No valid frames extracted from /Volumes/BigBoy/portugal trip 2025/1-13-2025/11 AM/DJI_0919.MP4
2025-01-31 18:44:14,631 - WARNING - No valid frames extracted from /Volumes/BigBoy/portugal trip 2025/1-13-2025/11 AM/DJI_0989.MP4
2025-01-31 18:44:16,943 - WARNING - No valid frames extracted from /Volumes/BigBoy/portugal trip 2025/1-13-2025/3 PM/DJI_0115.MP4
2025-01-31 18:45:14,207 - WARNING - No valid frames extracted from /Volumes/BigBoy/portugal trip 2025/1-13-2025/11 AM/DJI_0930.MP4
2025-01-31 18:45:24,066 - WARNING - No valid frames extracted from /Volumes/BigBoy/portugal trip 2025/1-13-2025/11 AM/DJI_0919.MP4
2025-01-31 18:45:27,190 - WARNING - No valid frames extracted from /Volumes/BigBoy/portugal trip 2025/1-13-2025/11 AM/DJI_0989.MP4
2025-01-31 18:45:29,563 - WARNING - No valid frames extracted from /Volumes/BigBoy/portugal trip 2025/1-13-2025/3 PM/DJI_0115.MP4
2025-01-31 18:45:29,565 - WARNING - No valid visual features extracted, skipping clustering.
2025-01-31 18:47:09,557 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-28-2025/9 AM/DJI_0432.MP4
2025-01-31 18:47:19,080 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-28-2025/1 AM/DJI_0677.MP4
2025-01-31 18:47:35,826 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-28-2025/10 AM/IMG_0348.MOV
2025-01-31 18:47:48,114 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-28-2025/10 AM/DJI_0431.MP4
2025-01-31 18:47:51,292 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-28-2025/11 AM/DJI_0507.MP4
2025-01-31 18:48:42,354 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-28-2025/9 AM/DJI_0432.MP4
2025-01-31 18:48:48,051 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-28-2025/1 AM/DJI_0677.MP4
2025-01-31 18:49:04,921 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-28-2025/10 AM/IMG_0348.MOV
2025-01-31 18:49:17,208 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-28-2025/10 AM/DJI_0431.MP4
2025-01-31 18:49:20,353 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-28-2025/11 AM/DJI_0507.MP4
2025-01-31 18:49:25,614 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-28-2025/11 AM/DJI_0432.MP4
2025-01-31 18:49:45,882 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-28-2025/11 AM/DJI_0539.MP4
2025-01-31 18:49:50,727 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-28-2025/12 PM/DJI_0549.MP4
2025-01-31 18:49:56,719 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/7 AM/DJI_0603.MP4
2025-01-31 18:50:26,184 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/7 AM/DJI_0031-3.MP4
2025-01-31 18:50:36,934 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/7 AM/DJI_0604.MP4
2025-01-31 18:50:48,832 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/7 AM/DJI_0624.MP4
2025-01-31 18:50:58,297 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/7 AM/DJI_0625.MP4
2025-01-31 18:51:03,975 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/7 AM/DJI_0626.MP4
2025-01-31 18:51:07,387 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/7 AM/DJI_0627.MP4
2025-01-31 18:51:30,231 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/7 AM/DJI_0628.MP4
2025-01-31 18:51:54,059 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/7 AM/DJI_0635.MP4
2025-01-31 18:52:03,785 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/7 AM/DJI_0639.MP4
2025-01-31 18:52:14,361 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/7 AM/DJI_0685.MP4
2025-01-31 18:52:19,095 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/7 AM/DJI_0686.MP4
2025-01-31 18:52:59,606 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/12 PM/DJI_0161.MP4
2025-01-31 18:53:03,693 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/12 PM/DJI_0163.MP4
2025-01-31 18:53:13,622 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/12 PM/DJI_0166.MP4
2025-01-31 18:53:17,814 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/12 PM/DJI_0180.MP4
2025-01-31 18:53:23,090 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/12 PM/DJI_0181.MP4
2025-01-31 18:53:46,867 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/12 PM/DJI_0235.MP4
2025-01-31 18:53:49,758 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/12 PM/DJI_0236.MP4
2025-01-31 18:54:12,508 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/12 PM/DJI_0278.MP4
2025-01-31 18:54:17,315 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/2 PM/DJI_0547.MP4
2025-01-31 18:54:23,677 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/2 PM/DJI_0548.MP4
2025-01-31 18:54:37,692 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/2 PM/DJI_0549.MP4
2025-01-31 18:54:43,517 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/2 PM/DJI_0550.MP4
2025-01-31 18:54:58,276 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/8 AM/DJI_0755.MP4
2025-01-31 18:55:05,053 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/8 AM/DJI_0688.MP4
2025-01-31 18:55:12,025 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/8 AM/DJI_0713-1.MP4
2025-01-31 18:55:23,949 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/8 AM/DJI_0715.MP4
2025-01-31 18:55:32,138 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/8 AM/DJI_0748.MP4
2025-01-31 18:55:52,988 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/8 AM/DJI_0749.MP4
2025-01-31 18:55:56,997 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/8 AM/DJI_0750.MP4
2025-01-31 18:56:07,288 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/8 AM/DJI_0770-1.MP4
2025-01-31 18:56:12,909 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/8 AM/DJI_0794.MP4
2025-01-31 18:56:20,160 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/8 AM/DJI_0796.MP4
2025-01-31 18:56:23,462 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/8 AM/DJI_0800.MP4
2025-01-31 18:56:26,565 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/8 AM/DJI_0844.MP4
2025-01-31 18:56:46,696 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/8 AM/DJI_0845.MP4
2025-01-31 18:57:09,507 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/9 AM/DJI_0846.MP4
2025-01-31 18:57:19,559 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/9 AM/DJI_0868.MP4
2025-01-31 18:57:33,722 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-27-2025/9 AM/DJI_0896.MP4
